Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed,Brake
32,0.9353869757652282,24.640601157842298,1.0,0.008570186793804169,1.0,4.0805888175964355,-1.0
33,0.9452355580329894,25.58583671587529,1.0,0.00831245630979538,1.0,4.246389865875244,-1.0
34,0.9589485709190368,26.544785286794326,1.0,0.008312664926052094,1.0,4.477248668670654,-1.0
35,0.972494584751129,27.517279871545455,1.0,0.007475040853023529,1.0,4.705296039581299,-1.0
36,0.9870544890403747,28.50433436058583,1.0,0.005920015275478363,1.0,4.950412273406982,-1.0
37,0.99,29.494334360585828,1.0,0.00684773176908493,1.0,5.209067344665527,-1.0
38,0.99,30.484334360585827,1.0,0.0068482086062431335,1.0,5.520735740661621,-1.0
39,0.99,31.474334360585825,1.0,0.004456274211406708,1.0,5.689834117889404,-1.0
40,0.99,32.46433436058582,1.0,0.005382619798183441,1.0,5.938807010650635,-1.0
41,0.99,33.454334360585825,1.0,0.004457645118236542,1.0,5.977083206176758,-1.0
42,0.99,34.44433436058583,1.0,0.0053843483328819275,1.0,6.132236003875732,-1.0
43,1.0,35.44433436058583,1.0,0.005141101777553558,0.0,6.076264381408691,-1.0
44,1.0,36.44433436058583,1.0,0.004417113959789276,0.0,6.243582725524902,-1.0
45,1.0,37.44433436058583,1.0,0.0044137462973594666,0.0,6.645461082458496,-1.0
46,1.0,38.44433436058583,1.0,0.003634713590145111,0.0,6.906462669372559,-1.0
47,1.0,39.44433436058583,1.0,0.0033909305930137634,0.0,7.269914150238037,-1.0
48,1.0,40.44433436058583,1.0,0.0036765560507774353,0.0,7.582978248596191,-1.0
49,1.0,41.44433436058583,1.0,0.004367165267467499,0.0,7.8741044998168945,-1.0
50,1.0,42.44433436058583,1.0,0.0039858147501945496,0.0,8.244178771972656,-1.0
51,1.0,43.44433436058583,1.0,0.004670493304729462,0.0,8.510652542114258,-1.0
52,1.0,44.44433436058583,1.0,0.005705051124095917,0.0,8.761101722717285,-1.0
53,1.0,45.44433436058583,1.0,0.0054624006152153015,0.0,9.00937271118164,-1.0
54,1.0,46.44433436058583,1.0,0.008159719407558441,0.0,9.186899185180664,-1.0
55,1.0,47.44433436058583,1.0,0.008160822093486786,0.0,9.4431734085083,-1.0
56,1.0,48.44433436058583,1.0,0.007776491343975067,0.0,9.600724220275879,-1.0
57,1.0,49.44433436058583,1.0,0.006743244826793671,0.0,9.613646507263184,-1.0
58,1.0,50.44433436058583,1.0,0.005080841481685638,0.0,9.612936019897461,-1.0
59,0.99,51.43433436058583,1.0,0.005077771842479706,-1.0,9.757084846496582,-1.0
60,0.99,52.42433436058583,1.0,0.0034611746668815613,-1.0,10.121883392333984,-1.0
61,0.99,53.41433436058583,1.0,0.0029640719294548035,-1.0,10.3515043258667,-1.0
62,0.99,54.404334360585835,1.0,0.002963416278362274,-1.0,10.723980903625488,-1.0
63,0.99,55.39433436058584,1.0,0.002720169723033905,-1.0,10.996148109436035,-1.0
64,0.99,56.38433436058584,1.0,0.004591338336467743,-1.0,11.243139266967773,-1.0
65,0.99,57.37433436058584,1.0,0.007289044559001923,-1.0,11.454506874084473,-1.0
66,0.99,58.36433436058584,1.0,0.007290802896022797,-1.0,11.657713890075684,-1.0
