Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed,Brake
45,0.7840184110645205,35.28086454124136,0.2,0.16,2.0,0.0004602766130119562,-1.0
46,0.784009578895988,36.06487412013735,0.2,0.16,2.0,0.00023947239969857037,-1.0
47,0.78401492328709,36.848889043424435,0.2,0.16,2.0,0.0003730821772478521,-1.0
48,0.7840130884174723,37.63290213184191,0.2,0.16,2.0,0.00032721043680794537,-1.0
49,0.7840173339841422,38.416919465826055,0.2,0.16,2.0,0.0004333496035542339,-1.0
50,0.7840283950800077,39.20094786090606,0.2,0.16,2.0,0.0007098770001903176,-1.0
51,0.7840081724172924,39.98495603332336,0.2,0.16,2.0,0.0002043104323092848,-1.0
52,0.7840002737253453,40.768956307048704,0.2,0.16,2.0,6.843133633083198e-06,-1.0
53,0.784007100867806,41.55296340791651,0.2,0.16,2.0,0.00017752169515006244,-1.0
54,0.7840893375370652,42.337052745453576,0.2,0.16,2.0,0.002233438426628709,-1.0
55,0.7840716186501087,43.121124364103686,0.2,0.16,2.0,0.0017904662527143955,-1.0
56,0.7840760433170945,43.90520040742078,0.2,0.16,2.0,0.0019010829273611307,-1.0
57,0.7840319477077574,44.68923235512854,0.2,0.16,2.0,0.0007986926939338446,-1.0
58,0.7840508499145508,45.47328320504309,0.2,0.16,2.0,0.0012712478637695312,-1.0
59,0.7840512020103634,46.25733440705345,0.2,0.16,2.0,0.0012800502590835094,-1.0
60,0.7840378629681655,47.04137227002161,0.2,0.16,2.0,0.0009465742041356862,-1.0
61,0.7841220417302102,47.82549431175182,0.2,0.16,2.0,0.0030510432552546263,-1.0
62,0.795523163318634,48.62101747507045,0.2,0.16,2.0,0.28807908296585083,-1.0
63,0.8058495154380798,49.42686699050853,0.2,0.16,2.0,0.5462378859519958,-1.0
64,0.8100163974761964,50.236883387984726,0.2,0.16,2.0,0.6504099369049072,-1.0
65,0.8218112535476685,51.0586946415324,0.2,0.16,1.0,0.7452813386917114,-1.0
66,0.8240243549346924,51.88271899646709,0.2,0.16,1.0,0.8006088733673096,-1.0
67,0.8334584784507751,52.71617747491786,0.2,0.16,0.0,0.8364619612693787,-1.0
68,0.8344022989273072,53.55057977384517,0.5,0.01,0.0,0.8600574731826782,-1.0
69,0.8271069760322571,54.37768674987743,0.5,0.01,-1.0,0.877674400806427,-1.0
