Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake
75,0.8742744374275209,60.08995981775893,0.5,0.01,1.0,2.635488748550415,-1.0
76,0.8753053236007691,60.9652651413597,0.5,0.01,1.0,2.656106472015381,-1.0
77,0.8767432141304017,61.8420083554901,0.4,-0.04,1.0,2.6848642826080322,-1.0
78,0.8774222540855408,62.71943060957564,0.4,-0.04,1.0,2.6984450817108154,-1.0
79,0.8782148051261902,63.59764541470183,0.4,-0.04,1.0,2.7142961025238037,-1.0
80,0.8713670349121094,64.46901244961394,0.5,0.01,2.0,2.7273406982421875,-1.0
81,0.8723557806015014,65.34136823021544,0.5,0.01,2.0,2.7471156120300293,-1.0
82,0.873626205921173,66.2149944361366,0.5,0.01,2.0,2.772524118423462,-1.0
83,0.8750396227836609,67.09003405892027,0.5,0.01,2.0,2.8007924556732178,-1.0
84,0.8766078925132752,67.96664195143354,0.5,0.01,2.0,2.832157850265503,-1.0
85,0.87816725730896,68.8448092087425,0.5,0.01,2.0,2.863345146179199,-1.0
86,0.8797721242904664,69.72458133303297,0.5,0.01,2.0,2.895442485809326,-1.0
87,0.8813723301887513,70.60595366322173,0.5,0.01,2.0,2.9274466037750244,-1.0
88,0.8830568408966064,71.48901050411833,0.5,0.01,2.0,2.961136817932129,-1.0
89,0.8922399806976319,72.38125048481596,0.5,0.01,1.0,2.9947996139526367,-1.0
90,0.8934106159210206,73.27466110073699,0.5,0.01,1.0,3.01821231842041,-1.0
91,0.8951031494140625,74.16976425015106,0.5,0.01,1.0,3.05206298828125,-1.0
92,0.8962653207778931,75.06602957092896,0.5,0.01,1.0,3.0753064155578613,-1.0
93,0.8979237484931946,75.96395331942216,0.5,0.01,1.0,3.1084749698638916,-1.0
94,0.8996413278579712,76.86359464728014,0.5,0.01,1.0,3.142826557159424,-1.0
95,0.9014005470275879,77.76499519430773,0.5,0.01,1.0,3.178010940551758,-1.0
96,0.9031104254722595,78.66810561978,0.5,0.01,1.0,3.2122085094451904,-1.0
97,0.9048950242996217,79.57300064407961,0.5,0.01,1.0,3.2479004859924316,-1.0
98,0.9066496539115907,80.4796502979912,0.5,0.01,1.0,3.2829930782318115,-1.0
99,0.9084218072891236,81.38807210528033,0.5,0.01,1.0,3.3184361457824707,-1.0
100,0.910075466632843,82.29814757191318,0.4,-0.04,1.0,3.3515093326568604,-1.0
101,0.911306529045105,83.20945410095828,0.4,-0.04,1.0,3.3761305809020996,-1.0
102,0.9120549726486207,84.1215090736069,0.5,0.01,1.0,3.391099452972412,-1.0
103,0.9131130743026734,85.03462214790957,0.5,0.01,1.0,3.412261486053467,-1.0
104,0.906714723110199,85.94133687101977,0.5,0.01,2.0,3.4342944622039795,-1.0
