Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance,Mean veal
120,-24.012575877381217,195,False,-177.0,-1.0,10,5.04137648312772
121,-23.26592613668527,145,False,-134.0,-1.0,10,2.765372764670234
122,-28.820417344135898,86,False,-141.0,-1.0,10,3.0912730428715083
123,-27.522046704164566,86,False,-141.0,-1.0,10,3.88974991651945
124,-28.423213795159544,91,False,-145.0,-1.0,10,2.349684215848386
125,-13.922547953695066,228,False,-195.0,-1.0,10,2.3791075161200737
126,-27.899303744750362,74,False,150.0,-1.0,10,4.619695256866917
127,-11.787537247112816,247,False,155.0,-1.0,10,5.2136822128310225
128,-28.005691247612237,93,False,-137.0,-1.0,10,3.798493275118451
129,-23.389068362495728,145,False,-188.0,-1.0,10,2.445670769781131
130,-21.719790559496197,129,False,-148.0,-1.0,10,4.00315610676744
131,-26.680778244627376,101,False,-146.0,-1.0,10,3.492521311737376
132,-27.332260106780698,78,False,-170.0,-1.0,10,2.1613388647301455
133,-22.971249480494436,141,False,-195.0,-1.0,10,4.182972553400785
134,-26.437616093635555,121,False,-181.0,-1.0,10,3.4889477081442912
135,-21.48504239475727,165,False,150.0,-1.0,10,4.818205133419145
136,-26.051937252283096,126,False,-136.0,-1.0,10,2.715161215654382
137,-28.320660564810037,94,False,114.0,-1.0,10,4.127756847786975
138,-23.875125994810034,235,False,166.0,-1.0,10,4.753623264397871
139,-29.283793547238623,70,False,-157.0,-1.0,10,2.891663532770638
140,-27.075769860625268,92,False,-152.0,-1.0,10,4.29557682895709
141,-25.67403114689887,126,False,-138.0,-1.0,10,2.4576746651818255
142,-26.33907827234694,99,False,-183.0,-1.0,10,4.210974920371717
143,-27.293294737194266,100,False,-129.0,-1.0,10,3.7101819901075213
144,-24.137722809421163,112,False,-150.0,-1.0,10,2.1148445157512987
145,-17.49558808791211,205,False,121.0,-1.0,10,3.281544177861112
146,-29.656185675850935,75,False,146.0,-1.0,10,2.8847589962619047
147,-26.015368277562523,108,False,-128.0,-1.0,10,3.893313285704978
148,-24.771980384598887,133,False,-129.0,-1.0,10,3.2313250947351517
149,-25.54479142195412,94,False,142.0,-1.0,10,3.3316333738819477
150,-22.074009115623568,159,False,146.0,-1.0,10,5.172574493985729
151,-26.892033156333227,84,False,141.0,-1.0,10,2.9426194839623
152,-26.858376698357716,100,False,135.0,-1.0,10,2.961175965052098
153,-25.852254366446825,122,False,-140.0,-1.0,10,2.236385846806339
154,-26.857991621189882,90,False,-132.0,-1.0,10,4.889141370190514
155,-25.819003673219253,100,False,-133.0,-1.0,10,3.6299686007481067
156,-22.42892786225144,141,False,-189.0,-1.0,10,3.718879239714592
