Steps,Reward,Accumulated reward,Throttle,Steer,deviation,velocity,Brake,Distance,Distance back-right
1649,0.9361012556834944,1554.6834733789808,0.5026580691337585,-0.015435426495969296,-2.0,16.960561752319336,-1.0,20,20
1650,0.9353953649933848,1555.6188687439742,0.5026950836181641,-0.01583590731024742,-2.0,16.963151931762695,-1.0,20,20
1651,0.9326580968531114,1556.5515268408274,0.5028318762779236,-0.017387928441166878,-2.0,16.968059539794922,-1.0,20,20
1652,0.9317974915972778,1557.4833243324247,0.502736508846283,-0.01785651594400406,-2.0,16.97057342529297,-1.0,20,20
1653,0.9316628639964121,1558.4149871964212,0.5027468800544739,-0.017933359369635582,-2.0,16.972888946533203,-1.0,20,20
1654,0.9332333638976726,1559.3482205603189,0.5027194619178772,-0.017050040885806084,-2.0,16.975269317626953,-1.0,20,20
1655,0.9326878597938588,1560.2809084201126,0.5027568936347961,-0.017360763624310493,-2.0,16.98001480102539,-1.0,20,20
1656,0.9353022964649966,1561.2162107165775,0.5026499032974243,-0.015881700441241264,-2.0,16.982473373413086,-1.0,20,20
1657,0.9323705072360379,1562.1485812238136,0.5028055310249329,-0.017545290291309357,-2.0,16.987173080444336,-1.0,20,20
1658,0.9339868395168867,1563.0825680633304,0.502727746963501,-0.016629254445433617,-2.0,16.98941421508789,-1.0,20,20
1659,0.9311774760995593,1564.01374553943,0.5028460025787354,-0.018219053745269775,-2.0,16.99210548400879,-1.0,20,20
1660,0.9318404903614095,1564.9455860297912,0.5028021335601807,-0.017841624096035957,-2.0,16.995075225830078,-1.0,20,20
1661,0.928777579162802,1565.8743636089541,0.502841591835022,-0.019562378525733948,-2.0,16.998517990112305,-1.0,20,20
1662,0.9334473445724163,1566.8078109535265,0.5027438998222351,-0.016933633014559746,-2.0,17.001075744628906,-1.0,20,20
1663,0.928788688111518,1567.7365996416381,0.5028657913208008,-0.019559545442461967,-2.0,17.004085540771484,-1.0,20,20
1664,0.9306986368639129,1568.6672982785021,0.5027936100959778,-0.01847986876964569,-2.0,17.00882911682129,-1.0,20,20
1665,0.9298666253398571,1569.597164903842,0.5027812719345093,-0.018944067880511284,-2.0,17.011497497558594,-1.0,20,20
1666,0.9288422861248254,1570.5260071899668,0.5028356313705444,-0.019525308161973953,-2.0,17.014202117919922,-1.0,20,20
1667,0.9304873909513864,1571.4564945809182,0.5027730464935303,-0.018595287576317787,-2.0,17.01898765563965,-1.0,20,20
1668,0.9325005302450486,1572.3889951111632,0.5027768611907959,-0.017468463629484177,-2.0,17.02133560180664,-1.0,20,20
1669,0.938159775812711,1573.327154886976,0.5027918815612793,-0.017661388963460922,-1.0,17.02606201171875,-1.0,20,20
1670,0.9365735576998975,1574.2637284446757,0.502635657787323,-0.015167799778282642,-2.0,17.028335571289062,-1.0,20,20
1671,0.9350090457371303,1575.198737490413,0.5026354789733887,-0.016043901443481445,-2.0,17.031219482421875,-1.0,20,20
1672,0.9322558514486465,1576.1309933418615,0.5027727484703064,-0.017604907974600792,-2.0,17.03420066833496,-1.0,20,20
1673,0.9302250558755227,1577.061218397737,0.5028086304664612,-0.018747176975011826,-2.0,17.036956787109375,-1.0,20,20
1674,0.9311097665535552,1577.9923281642907,0.5027706623077393,-0.018246423453092575,-2.0,17.039587020874023,-1.0,20,20
1675,0.9326956098611865,1578.925023774152,0.5027433633804321,-0.017354529350996017,-2.0,17.04287338256836,-1.0,20,20
1676,0.9342374278211167,1579.859261201973,0.5027030110359192,-0.016485461965203285,-2.0,17.046018600463867,-1.0,20,20
1677,0.9333766257901277,1580.792637827763,0.5027705430984497,-0.016976965591311455,-2.0,17.048721313476562,-1.0,20,20
1678,0.932604304326432,1581.7252421320893,0.5027889609336853,-0.01741204410791397,-2.0,17.051315307617188,-1.0,20,20
