Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser
63,-8.784552168180632,127,False,-102.0,-1.0,3.886935554573599,4.763885977597335,100.0
64,-12.580901185669049,124,False,-96.0,-1.0,3.8266911265813253,5.224373922178207,100.0
65,89.09765357238885,204,False,-100.0,-1.0,3.8348127542776087,7.734644317763228,44.11764705882353
66,70.94772879013027,211,False,-102.0,-1.0,3.689269135225539,8.646380137286913,97.6303317535545
67,72.27998860029072,189,False,-99.0,-1.0,3.9396169411760575,7.0285190190841496,65.60846560846561
68,-23.030103513613938,118,False,-108.0,-1.0,3.7095975414259574,4.343896618793655,100.0
69,4.776839020410804,150,False,-96.0,-1.0,3.72248283872082,5.863660172075033,100.0
70,44.84266565745138,181,False,-83.0,-1.0,3.781625313200245,7.069947977421692,97.79005524861878
71,-23.86306789524484,122,False,-102.0,-1.0,3.7170860422394263,5.02888740994395,100.0
72,110.25443943088402,222,False,-103.0,-1.0,3.571161676495342,8.642328002344321,57.65765765765766
73,-8.522090634054706,140,False,-95.0,-1.0,3.9679378535606387,5.112535918419183,100.0
74,37.56146018504417,168,False,-109.0,-1.0,3.7445080951024114,6.699269222332597,81.54761904761905
75,-30.638406176786244,108,False,-100.0,-1.0,3.843434395340228,4.221195145643799,100.0
76,63.893094604717675,210,False,-95.0,-1.0,3.9748662492236666,8.461481930493997,98.09523809523809
77,73.81918036870994,196,False,-102.0,-1.0,3.749874502582278,7.5538875426068355,63.775510204081634
78,103.53612204241094,211,False,-106.0,-1.0,3.7328749224445144,7.910906694564633,42.18009478672986
79,102.187045793874,231,False,-99.0,-1.0,3.6687464771185043,8.485817526564913,44.15584415584416
80,55.678624969429706,174,False,-97.0,-1.0,3.8424038359204995,7.078455003442767,58.620689655172406
81,73.73865905551304,183,False,-96.0,-1.0,3.835360874051723,7.567141446150086,52.459016393442624
82,-36.300965656052846,96,False,-95.0,-1.0,3.7769458176836257,4.16561000848742,100.0
83,84.61078289199924,219,False,-90.0,-1.0,3.681353981091531,7.700818676046483,70.77625570776256
84,-2.6522995552634825,120,False,-97.0,-1.0,3.9835999435211735,5.453726116674564,100.0
85,-17.820039488874343,117,False,-89.0,-1.0,3.784598193204365,5.194959439062633,100.0
86,74.97323979783874,181,False,-100.0,-1.0,3.70778424211325,7.692226369843371,62.98342541436463
87,-36.423507180635106,101,False,-93.0,-1.0,3.861407540214264,4.1828558556343625,100.0
88,-14.093253556903981,118,False,-93.0,-1.0,3.819744377007036,5.829759621984815,100.0
89,-18.828563911145572,102,False,-90.0,-1.0,3.916362504645261,4.754961575632549,100.0
90,23.878076327448838,140,False,-100.0,-1.0,3.855988595200424,6.284658533459463,98.57142857142858
91,-0.7625510684031198,101,False,-100.0,-1.0,3.745255434979218,4.862597522796086,100.0
92,-3.1392063182499967,141,False,-94.0,-1.0,3.7050243640372647,5.831499259433452,100.0
93,16.343032558588277,144,False,-100.0,-1.0,3.910498689363716,5.876040632862391,100.0
94,49.308257340601145,159,False,-86.0,-1.0,3.689506193657695,7.510623019074424,60.37735849056604
95,52.42447872380279,160,False,-95.0,-1.0,3.878165118022683,6.964859695000632,73.125
96,72.08215401046627,196,False,-101.0,-1.0,3.4825728066091854,8.3059383297484,62.244897959183675
97,25.69617356670348,133,False,-104.0,-1.0,3.6125385111954906,5.820251426053814,79.69924812030075
98,72.0705965338766,169,False,-94.0,-1.0,3.654042969475069,7.483584905186524,52.071005917159766
99,67.2011165544175,189,False,-101.0,-1.0,3.8724343306221174,7.505989252617977,64.02116402116403
100,71.26436185497525,191,False,-95.0,-1.0,3.9350436502833843,7.564557695045765,60.73298429319372
101,89.7154334493141,202,False,-102.0,-1.0,3.9926855167705506,8.47107850276003,43.06930693069307
102,30.734709516919708,152,False,-101.0,-1.0,3.694245000845233,6.278836577660465,75.0
103,31.74702550732735,166,False,-99.0,-1.0,3.7185410926154985,6.3268373140992304,96.98795180722891
104,29.041080576619805,144,False,-113.0,-1.0,3.904946934465204,6.122161095551241,84.02777777777779
105,4.085994801325512,120,False,-107.0,-1.0,3.969252827620439,5.390882642650589,100.0
106,-3.495771090206901,130,False,-97.0,-1.0,3.74170473896124,5.113325332038893,100.0
107,48.669220140397314,153,False,-112.0,-1.0,3.888479192321448,7.017568904007146,67.97385620915033
108,-7.333244609267567,118,False,-91.0,-1.0,3.69182864151916,4.7754208763382575,100.0
109,53.45454623994817,169,False,-108.0,-1.0,3.887471130424919,6.948583213183974,70.41420118343196
110,73.63668764078781,182,False,-99.0,-1.0,3.7169784795995606,7.696008351411425,60.43956043956044
111,98.6517916045504,377,False,-104.0,-1.0,3.8067975711811624,5.926811367321503,100.0
112,25.530013728870514,171,False,-91.0,-1.0,3.7247662922258145,7.354974167511324,99.41520467836257
