Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed
38,0.871569079293145,31.70153980507478,0.5,0.01,4.0,2.6086714267730713
39,0.8675675095452202,32.56910731462,0.5,0.01,5.0,2.696132183074951
40,0.8701519478691948,33.439259262489195,0.5,0.01,5.0,2.7607431411743164
41,0.8727462471856011,34.3120055096748,0.5,0.01,5.0,2.8256006240844727
42,0.8765630616082085,35.18856857128301,0.5,0.01,5.0,2.921020984649658
43,0.8795562447441949,36.0681248160272,0.5,0.01,5.0,2.9958505630493164
44,0.8744270409478081,36.94255185697501,0.5,0.01,6.0,3.0551204681396484
45,0.8770763863457574,37.819628243320764,0.5,0.01,6.0,3.121354103088379
46,0.8803374756707085,38.69996571899147,0.5,0.01,6.0,3.202881336212158
47,0.883465527428521,39.58343124641999,0.5,0.01,6.0,3.2810826301574707
48,0.8864451779259577,40.46987642434595,0.5,0.01,6.0,3.355573892593384
49,0.8909851826561821,41.36086160700213,0.5,0.01,6.0,3.469074010848999
50,0.8872399891747369,42.248101596176866,0.5,0.01,7.0,3.562944173812866
51,0.8902473725212945,43.13834896869816,0.5,0.01,7.0,3.6381287574768066
52,0.8937689198387995,44.03211788853696,0.5,0.01,7.0,3.7261674404144287
53,0.896879538430108,44.928997426967065,0.5,0.01,7.0,3.8039329051971436
54,0.900120562447442,45.829117989414506,0.5,0.01,7.0,3.884958505630493
55,0.8952241791619195,46.72434216857643,0.5,0.01,8.0,3.9500489234924316
56,0.8988401879204644,47.62318235649689,0.5,0.01,8.0,4.040449142456055
57,0.9019255341423882,48.525107890639276,0.5,0.01,8.0,4.11758279800415
58,0.9053206719292535,49.43042856256853,0.5,0.01,8.0,4.202461242675781
59,0.9082208718193903,50.33864943438792,0.5,0.01,8.0,4.274966239929199
60,0.9114629448784721,51.25011237926639,0.5,0.01,8.0,4.35601806640625
61,0.9145252121819389,52.164637591448326,0.5,0.01,8.0,4.43257474899292
62,0.9177029122246636,53.08234050367299,0.5,0.01,8.0,4.512017250061035
63,0.9202758301628959,54.00261633383588,0.5,0.01,8.0,4.576340198516846
64,0.922901963127984,54.925518296963865,0.5,0.01,8.0,4.641993522644043
65,0.9259145058525933,55.85143280281646,0.5,0.01,8.0,4.717307090759277
66,0.9285285271538628,56.77996132997033,0.5,0.01,8.0,4.782657623291016
67,0.9316342629326715,57.711595592902995,0.5,0.01,8.0,4.8603010177612305
68,0.9340845574273002,58.64568015033029,0.5,0.01,8.0,4.921558380126953
69,0.9369010437859429,59.58258119411624,0.5,0.01,8.0,4.991970539093018
70,0.9372222222222222,60.51980341633846,0.5,0.01,8.0,5.056357383728027
71,0.9368550766838921,61.45665849302235,0.5,0.01,8.0,4.990821361541748
72,0.9372222222222222,62.39388071524458,0.5,0.01,8.0,5.0106096267700195
73,0.9447222222222222,63.3386029374668,0.5,0.01,7.0,5.0177483558654785
74,0.9447222222222222,64.28332515968903,0.5,0.01,7.0,5.078886985778809
75,0.9447222222222222,65.22804738191125,0.5,0.01,7.0,5.070930480957031
76,0.9522222222222223,66.18026960413347,0.5,0.01,6.0,5.090476989746094
77,0.9515387047661674,67.13180830889964,0.5,0.01,6.0,4.982912063598633
78,0.9522222222222223,68.08403053112185,0.5,0.01,6.0,5.121410846710205
79,0.9597222222222224,69.04375275334408,0.5,0.01,5.0,5.0555315017700195
