Step,Reward,Accumulated reward,Velocity,Steer,Deviation,Speed
59,0.96,57.49,2.0,0.16,4.0,0.8559225797653198
60,0.98,58.47,2.0,0.16,2.0,1.0640835762023926
61,1.0,59.47,1.0,-0.18,0.0,1.3338171243667603
62,0.98,60.449999999999996,1.0,-0.18,-2.0,0.2671617269515991
63,0.98,61.42999999999999,1.0,-0.18,-2.0,0.30207905173301697
64,0.98,62.40999999999999,1.0,-0.18,-2.0,0.6494335532188416
65,1.0,63.40999999999999,1.0,-0.18,0.0,0.8899439573287964
66,0.98,64.38999999999999,1.0,-0.18,2.0,0.9781235456466675
67,0.96,65.34999999999998,1.0,-0.18,4.0,1.0622729063034058
68,0.95,66.29999999999998,2.0,0.16,5.0,0.01692737638950348
69,0.95,67.24999999999999,2.0,0.16,5.0,0.26908642053604126
70,0.95,68.19999999999999,2.0,0.16,5.0,0.3351951539516449
71,0.95,69.14999999999999,2.0,0.16,5.0,0.5416616797447205
72,0.96,70.10999999999999,2.0,0.16,4.0,0.7072383761405945
73,0.97,71.07999999999998,2.0,0.16,3.0,1.0428036451339722
74,0.99,72.06999999999998,1.0,-0.18,1.0,1.255628228187561
75,0.99,73.05999999999997,1.0,-0.18,-1.0,1.4854658842086792
76,1.0,74.05999999999997,1.0,-0.18,0.0,1.3050858974456787
77,0.97,75.02999999999997,1.0,-0.18,3.0,0.027006393298506737
78,0.97,75.99999999999997,1.0,-0.18,3.0,0.17259745299816132
79,0.97,76.96999999999997,2.0,0.16,3.0,0.39977601170539856
80,0.96,77.92999999999996,2.0,0.16,4.0,0.5267236828804016
81,0.96,78.88999999999996,2.0,0.16,4.0,0.8377347588539124
82,0.98,79.86999999999996,2.0,0.16,2.0,1.0320020914077759
83,1.0,80.86999999999996,1.0,-0.18,0.0,1.244972586631775
84,0.99,81.85999999999996,1.0,-0.18,-1.0,1.426003098487854
85,1.0,82.85999999999996,1.0,-0.18,0.0,0.4868723452091217
86,0.98,83.83999999999996,1.0,-0.18,2.0,0.2151753306388855
87,0.97,84.80999999999996,1.0,-0.18,3.0,0.5373104214668274
88,0.96,85.76999999999995,1.0,-0.18,4.0,0.6988040208816528
89,0.95,86.71999999999996,2.0,0.16,5.0,0.7268980145454407
90,0.94,87.65999999999995,2.0,0.16,6.0,0.7660927176475525
91,0.94,88.59999999999995,2.0,0.16,6.0,0.9099506139755249
92,0.95,89.54999999999995,2.0,0.16,5.0,1.099188208580017
