Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
120,-22.524215925996636,53,False,2.0,1.0,3.1084504109547155,3.712931073007156,0,False
121,-26.094959988800447,74,False,-15.0,1.0,3.0781198806406547,4.375070231438086,0,False
122,-21.912670404598117,69,False,-13.0,1.0,3.176817367475451,3.834537738475247,0,False
123,-30.766291966983538,70,False,-5.0,1.0,3.0758372117724746,4.141898649292333,0,False
124,-27.628407525327276,69,False,1.0,1.0,3.0824263199869075,4.143449034163917,0,False
125,-24.0037709903644,61,False,-7.0,1.0,3.146732748761372,4.021061173747064,0,False
126,-25.82226397898237,67,False,8.0,1.0,3.1635238260893965,4.07214699413127,0,False
127,-31.652748680171015,66,False,-9.0,1.0,3.0980185481754416,4.3770014568598885,0,False
128,-23.33480367240854,61,False,-7.0,1.0,3.100724518031727,3.679316092099323,0,False
129,-17.772501837277083,81,False,4.0,1.0,3.582474243592312,4.020892693028774,0,False
130,-17.75407289644202,81,False,0.0,1.0,3.09424959817133,4.258138935461089,0,False
131,-15.594118444123104,72,False,-8.0,1.0,3.102548941998006,3.7780163016998105,0,False
132,-21.587862138765573,89,False,-5.0,1.0,3.122933657874184,4.191067173867748,0,False
133,-24.22657431430705,63,False,-13.0,1.0,3.109302729726335,3.724302414982092,0,False
134,-20.41516275765631,104,False,-5.0,1.0,3.0943755550882885,4.2704734657891095,0,False
135,-20.272758539041092,61,False,-6.0,1.0,3.184959773447724,3.7394277141047794,0,False
136,-24.132056317015937,75,False,-9.0,1.0,3.102850143981461,4.1760386436184245,0,False
137,-20.224895112738515,60,False,-5.0,1.0,3.085013200799273,3.7828624746141335,0,False
138,-19.54599402881459,108,False,-13.0,1.0,3.096349806427347,4.340845042425725,0,False
139,-17.62177826496039,88,False,1.0,1.0,3.088273565536359,4.158828422977504,0,False
140,-23.1007844520497,87,False,2.0,1.0,3.137951552339457,4.082688499670262,0,False
